city,site_eui,energy_star_score,gross_floor_area_sqft,total_ghg_mtco2e,y_log_ghg
denver,33.4,99.0,,176.8,5.180659323079804
denver,105.1,0.0,,1414.9,7.255520650290925
denver,163.4,0.0,,7275.1,8.892350283358851
denver,101.8,0.0,,511.0,6.238324625039508
denver,36.5,0.0,,99.7,4.612145799724517
denver,206.6,0.0,,467.0,6.148468295917647
denver,210.1,0.0,,900.9,6.804503649171663
denver,370.0,0.0,,8084.1,8.997778140518514
denver,36.8,0.0,,159.9,5.080783053998338
denver,47.7,0.0,,256.9,5.552571912887299
denver,495.4,97.0,,3294.0,8.100161446936607
denver,76.8,0.0,,354.4,5.8732439157205505
denver,107.8,50.0,,2925.5,7.9815624487312755
denver,110.7,70.0,,0.0,0.0
denver,55.7,87.0,,261.8,5.571393286610456
denver,86.8,38.0,,1801.6,7.496985346122309
denver,47.1,0.0,,297.4,5.698434868329605
denver,231.0,0.0,,2190.1,7.692158979813635
denver,69.4,0.0,,204.6,5.32593253358101
denver,177.3,0.0,,412.0,6.023447592961033
denver,93.0,0.0,,362.4,5.895504155962071
denver,40.6,0.0,,102.5,4.639571612705423
denver,280.0,0.0,,14530.4,9.584067104297134
denver,81.9,0.0,,460.7,6.1349153295129435
denver,37.5,0.0,,189.8,5.251225759014186
denver,67.1,0.0,,276.1,5.624378451868933
denver,110.8,0.0,,386.6,5.959973880016611
denver,54.5,0.0,,140.6,4.953006181259619
denver,157.2,15.0,,3731.1,8.224726356892278
denver,111.5,0.0,,668.6,6.506680519175266
denver,60.4,0.0,,758.2,6.632265247295718
denver,105.1,0.0,,1243.7,7.126649816006932
denver,69.0,0.0,,566.7,6.341593110176681
denver,37.5,0.0,,125.1,4.837075242970874
denver,64.0,1.0,,1804.6,7.4986482255033255
denver,44.6,0.0,,122.2,4.81380905109942
denver,53.5,0.0,,726.1,6.5890640196560115
denver,73.9,0.0,,184.4,5.2225156531317545
denver,98.8,0.0,,728.4,6.59222227837458
denver,317.9,0.0,,4476.1,8.406730794377484
denver,44.3,0.0,,75.1,4.33204826486764
denver,131.9,0.0,,654.6,6.485550846869675
denver,71.9,0.0,,1015.8,6.9244157198752445
denver,45.4,0.0,,228.3,5.435031189863859
denver,165.9,0.0,,1118.5,7.020637436038809
denver,83.4,53.0,,636.0,6.456769655572163
denver,121.0,27.0,,2074.7,7.638053725172875
denver,76.0,0.0,,874.3,6.774566684738392
denver,50.3,0.0,,310.9,5.742682623613757
denver,143.9,0.0,,737.1,6.604079316776007
denver,55.9,0.0,,153.5,5.0401940963378005
denver,80.4,0.0,,483.1,6.182291496945648
denver,70.5,12.0,,831.3,6.724192952752049
denver,0.0,0.0,,0.0,0.0
denver,70.3,0.0,,257.1,5.553347106724568
denver,164.7,0.0,,7101.2,8.868159874187903
denver,111.9,0.0,,668.0,6.505784060128229
denver,80.7,58.0,,910.3,6.814872151502081
denver,106.2,75.0,,1404.9,7.248432946085861
denver,60.8,0.0,,299.3,5.7047819749892845
denver,110.4,0.0,,617.0,6.42648845745769
denver,38.1,0.0,,153.6,5.040841136153322
denver,62.0,74.0,,430.8,6.067962518080707
denver,130.9,0.0,,474.8,6.164997597868857
denver,284.7,0.0,,15714.3,9.662390039090818
denver,47.2,0.0,,154.9,5.049214776063731
denver,105.2,0.0,,472.7,6.160574209929706
denver,93.8,0.0,,583.0,6.369900982828227
denver,76.9,0.0,,281.1,5.642261618007951
denver,84.6,47.0,,623.5,6.436951329565632
denver,68.4,0.0,,477.2,6.170029055024225
denver,991.2,34.0,,30248.4,10.317231628551534
denver,2.1,0.0,,43.6,3.7977338590260183
denver,132.6,0.0,,348.3,5.855931151812786
denver,116.8,42.0,,3368.9,8.122638349315633
denver,206.5,80.0,,19220.5,9.863784723183507
denver,52.3,36.0,,672.4,6.512339506726974
denver,56.0,54.0,,295.6,5.692384429703832
denver,63.1,60.0,,2966.4,7.995441427516694
denver,79.8,67.0,,201.6,5.311233591814583
denver,43.0,89.0,,138.3,4.93662988078576
denver,45.1,90.0,,278.1,5.6315701405422764
denver,31.5,92.0,,705.6,6.560464734925045
denver,32.1,100.0,,154.1,5.044070070182493
denver,84.5,41.0,,2190.6,7.692387149664261
denver,44.4,86.0,,2001.4,7.602101740117565
denver,41.1,92.0,,1583.2,7.36783482703018
denver,53.3,94.0,,248.8,5.520660597691477
denver,97.2,39.0,,205.5,5.330300412401088
denver,104.2,50.0,,288.6,5.668500660511562
denver,59.4,70.0,,146.3,4.9924713234685845
denver,48.4,98.0,,866.4,6.7655002314012656
denver,90.6,65.0,,591.1,6.38367553953773
denver,54.2,68.0,,167.8,5.128714582161857
denver,52.2,92.0,,251.9,5.5329941536759195
denver,55.1,92.0,,109.1,4.701389043728634
denver,63.1,94.0,,320.7,5.7736194342449805
denver,47.8,96.0,,132.2,4.891851758106289
denver,55.9,72.0,,1232.4,7.117529862557393
denver,97.9,74.0,,194.4,5.275048739608683
denver,50.7,88.0,,1304.8,7.174571158752533
denver,27.9,92.0,,537.5,6.288787496596443
denver,15.6,100.0,,59.6,4.104294893075269
denver,102.7,19.0,,249.0,5.521460917862246
denver,68.1,71.0,,1354.9,7.212220719468264
denver,75.1,81.0,,306.2,5.727499001273517
denver,54.7,91.0,,247.3,5.514637692514121
denver,35.0,85.0,,426.6,6.05818817915089
denver,85.6,5.0,,616.9,6.426326632066933
denver,76.2,18.0,,2175.1,7.685289562802247
denver,69.4,40.0,,198.3,5.294811227218749
denver,88.3,50.0,,364.1,5.900171288661591
denver,83.6,64.0,,209.1,5.347583607850955
denver,46.4,95.0,,231.9,5.450609176890295
denver,76.6,8.0,,674.9,6.5160451361063085
denver,88.3,27.0,,714.5,6.572981598996505
denver,143.1,58.0,,308.8,5.735926927982768
denver,69.9,69.0,,370.9,5.918625000931025
denver,60.4,83.0,,495.7,6.207986222113305
denver,37.9,84.0,,166.9,5.123368564083496
denver,61.3,87.0,,956.2,6.864012356034218
denver,64.4,90.0,,1530.0,7.333676395657684
denver,96.5,33.0,,590.0,6.3818160174060985
denver,58.3,72.0,,279.8,5.637642672151656
denver,74.9,96.0,,259.1,5.5610661724546055
denver,42.8,99.0,,203.3,5.319589501823576
denver,95.6,44.0,,1802.5,7.497484500343593
denver,91.8,52.0,,224.8,5.419649651715562
denver,95.0,57.0,,573.1,6.352803597173591
denver,60.4,60.0,,854.2,6.751335359710835
denver,53.2,70.0,,851.7,6.748407785748004
denver,66.8,70.0,,851.5,6.748173209157672
denver,58.5,71.0,,1283.2,7.157891235359948
denver,56.4,80.0,,959.3,6.867245735643927
denver,56.5,86.0,,149.5,5.01396308418893
denver,55.7,87.0,,186.2,5.232177564043492
denver,42.6,98.0,,210.1,5.352331954854275
denver,93.5,46.0,,404.1,6.004133950208645
denver,55.8,86.0,,278.3,5.632286472951131
denver,49.9,95.0,,378.6,5.939118066735773
denver,10.2,100.0,,244.1,5.501666290534067
denver,33.7,100.0,,677.4,6.519737084477693
denver,49.7,69.0,,372.9,5.923988381983068
denver,49.2,72.0,,271.9,5.609105427714293
denver,0.0,0.0,,0.0,0.0
denver,85.3,29.0,,244.9,5.504924949222147
denver,75.8,50.0,,2077.3,7.639305530825028
denver,58.5,87.0,,160.7,5.085742766583061
denver,54.0,92.0,,248.7,5.520260197285728
denver,126.4,14.0,,249.7,5.524257005164247
denver,73.2,62.0,,4125.4,8.32516063512708
denver,77.3,62.0,,887.7,6.78975972074443
denver,56.3,68.0,,2134.5,7.666456090281521
denver,85.3,79.0,,351.5,5.8650506222523235
denver,54.3,92.0,,242.4,5.494706180553427
denver,51.0,93.0,,243.6,5.499624223253072
denver,62.6,94.0,,280.8,5.64119759946458
denver,46.2,63.0,,222.5,5.409411414053624
denver,74.7,67.0,,711.7,6.569060574507825
denver,69.7,70.0,,225.8,5.4240685718535975
denver,43.9,95.0,,298.4,5.701780471985528
denver,158.7,2.0,,1074.7,6.98072689143796
denver,118.3,5.0,,456.5,6.125776884715576
denver,80.9,23.0,,568.0,6.343880434126331
denver,54.2,85.0,,1624.1,7.3933246313319625
denver,51.2,87.0,,2153.4,7.675267541497389
denver,54.9,88.0,,263.8,5.578974824062853
denver,96.2,24.0,,585.0,6.373319789577012
denver,86.4,33.0,,1653.9,7.411495863024897
denver,78.0,43.0,,3039.6,8.019810143346735
denver,67.0,47.0,,350.9,5.863347044327539
denver,53.9,69.0,,306.6,5.728800237631489
denver,42.3,82.0,,208.9,5.346631226826587
denver,55.8,91.0,,293.6,5.68561850402853
denver,37.2,95.0,,105.4,4.667205576907544
denver,47.3,98.0,,98.5,4.600157644164547
denver,62.7,80.0,,298.8,5.703115585668497
denver,54.9,83.0,,2214.7,7.703323659641231
denver,61.9,85.0,,263.5,5.577841251298354
denver,56.2,89.0,,254.7,5.544004882297141
denver,44.7,98.0,,209.6,5.349960599699875
denver,39.5,99.0,,1023.0,6.931471805599453
denver,56.3,64.0,,348.2,5.855644823965447
denver,61.3,78.0,,433.9,6.075116119603592
denver,49.6,84.0,,2143.7,7.670754961440916
denver,51.1,96.0,,223.8,5.415211118019536
denver,49.1,0.0,,631.9,6.45031243178126
denver,84.8,13.0,,282.2,5.6461533618195645
denver,44.1,15.0,,349.7,5.859931157146132
denver,58.8,42.0,,471.4,6.157826084323207
denver,80.5,61.0,,2610.6,7.8677183393124785
denver,103.5,73.0,,269.8,5.60138054103812
denver,57.6,79.0,,1646.9,7.407257029016685
denver,39.3,94.0,,113.0,4.736198448394496
denver,39.3,99.0,,212.8,5.365040998590945
denver,47.6,100.0,,415.0,6.030685260261263
denver,36.2,0.0,,1347.3,7.206599818640029
denver,68.0,65.0,,1667.5,7.4196802981914285
denver,44.0,73.0,,513.2,6.2426122948317895
denver,85.1,88.0,,306.6,5.728800237631489
denver,56.7,89.0,,253.6,5.539693686123306
denver,41.2,89.0,,527.2,6.269474999863032
denver,46.7,95.0,,270.3,5.603225219664886
denver,62.7,33.0,,1887.8,7.543696985771303
denver,61.8,53.0,,1108.0,7.011213987350367
denver,69.5,66.0,,2008.9,7.605840248571706
denver,77.8,72.0,,341.1,5.835103091983559
denver,38.9,81.0,,1981.1,7.59191216770395
denver,52.0,91.0,,249.0,5.521460917862246
denver,56.0,92.0,,237.3,5.473530384104697
denver,45.8,98.0,,196.4,5.285232126999381
denver,87.5,11.0,,425.5,6.055612366931734
denver,98.3,11.0,,2413.6,7.789288920898287
denver,96.8,44.0,,236.7,5.471009374366148
denver,64.4,68.0,,576.6,6.358881587578616
