city,property_id,property_name,gross_floor_area_sqft,site_eui,energy_star_score,total_ghg_mtco2e,address,zip,year_built
philadelphia,771004500,DUMed-219 North Broad St,90250.0,56.4,,475.7,219-25 North Broad Street,19102,1955
philadelphia,771063000,Roman Catholic High School,92588.0,50.7,82.0,277.2,301 N. Broad Street,19102,1890
philadelphia,771500000,Anderson Hall,138123.0,43.2,,486.4,329-35 South Broad Street,19102,1916
philadelphia,772028000,DUMed-1427 Vine Street Building,76793.0,84.3,,549.6,1427-33 Vine Street,19102,1940
philadelphia,772046000,Magee Rehabilitation Hospital,146912.0,153.6,,1672.7,1513 Race St,19102,1981
philadelphia,772059100,One Parkway Building,502000.0,94.5,66.0,3877.4,1515-29 Arch St,19102,1962
philadelphia,772239900,1600 Vine Street,210000.0,62.0,,1246.2,1600 Vine Street,19102,1998
philadelphia,772505500,Merriam Theater,77964.0,36.2,,203.4,250 South Broad Street,19102,1918
philadelphia,772508001/772508010,Hamilton/Furness,116264.0,75.1,,633.6,320 S. Broad Street/1499 Pine Street,19102,1876
philadelphia,772513020,Peirce College,94151.0,44.9,,372.4,1420-1434 Pine Street,19102,1898
philadelphia,772516000,Pine Residence Hall,53577.0,49.6,60.0,230.1,1500-02 Pine Street,19102,1920
philadelphia,772724000,Historic Landmark Building,71000.0,83.2,,464.3,118 N. Broad Street,19102,1865
philadelphia,772724100,Samuel MV Hamilton Building,240000.0,109.1,,1967.6,128 N. Broad Street,19102,1905
philadelphia,772727000,Academy of Music,144080.0,54.0,,649.9,240 South Broad Street,19102,1857
philadelphia,772727205,Kimmel Center for the Performing Arts,468307.0,72.2,,2264.7,300 South Broad Street,19102,2001
philadelphia,772732000,(PA3537)	Academy House COA,739800.0,40.3,67.0,2591.9,1420 Locust Street,19102,1977
philadelphia,782003200,Municipal Services Building (MSB),491000.0,89.8,63.0,3523.8,1401 JFK Blvd,19102,1968
philadelphia,782003255,Family Court_Arch St,651587.0,106.0,45.0,4425.5,1500 Arch St,19102,2014
philadelphia,782273400,City Hall,659185.0,86.7,62.0,3976.8,1400 Market St,19102,1900
philadelphia,881030000,1500 Locust,887048.0,40.8,93.0,2241.6,1500 Locust Street,19102,1974
philadelphia,881030500,Versailles,143600.0,46.9,75.0,530.6,1530 Locust St,19102,1929
philadelphia,881031008,Westbury Apartments,95548.0,85.3,22.0,612.0,271 S. 15th St,19102,1929
philadelphia,881031014,The Avenir,140000.0,56.4,44.0,719.7,42 South 15th Street ,19102,1909
philadelphia,881038000,The Metropolitan,120000.0,49.4,23.0,567.0,117 North 15th Street,19102,1926
philadelphia,"881041406, 881041339",Hanover North Broad,519504.0,37.5,,1270.4,322 N BROAD ST,19102,2017
philadelphia,881809317,1600 Callowhill,89863.0,66.7,23.0,448.2,352 N. 16th St.  ,19102,2018
philadelphia,882037110,1430 Walnut Street,61432.0,248.9,,1174.6,1430 Walnut Street,19102,2015
philadelphia,882887800,The Racquet Club of Philadelphia,91960.0,116.8,,715.8,215 South 16th STreet,19102,1907
philadelphia,883019502,Bailey,55784.0,30.0,73.0,160.1,1218 Chestnut St,19102,1950
philadelphia,883031800,Two Liberty Place,1326799.9,42.7,73.0,5257.8,50 South 16th Street,19102,1990
philadelphia,883038000,1435 Walnut (Drexel Building),57220.0,51.9,,256.1,1435 Walnut St.,19102,1908
philadelphia,883039500,1420 Walnut,108000.0,54.7,64.0,541.5,1420 Walnut Street,19102,1927
philadelphia,883039600,1429 Walnut,77472.0,52.8,56.0,381.9,1429-33 Walnut St.,19102,1916
philadelphia,883040500,1500 Walnut,329468.0,87.5,50.0,2004.4,1500-06 Walnut St.,19102,1930
philadelphia,883041500,1528 Walnut,206625.0,61.0,48.0,1154.6,1528 Walnut Street,19102,1927
philadelphia,883045400,1525 Locust,97811.0,75.4,34.0,706.2,1525-29 Locust St.,19102,1983
philadelphia,883048000,230 S. Broad,214486.0,75.5,48.0,1346.4,230 S. Broad St.,19102,1908
philadelphia,883048700,30 South 15th Associates,241831.0,77.6,64.0,1526.2,30 South 15th Street,19102,1985
philadelphia,883054361,Two Commerce Square,1151501.4,43.8,84.0,4577.7,2001 Market Street,19102,1992
philadelphia,883060510,Three Parkway,610065.0,45.2,91.0,2458.8,1601 Cherry Street,19102,1970
philadelphia,883320000,Centre Square - 1500 Market Street,2260778.0,59.5,72.0,10343.8,1500 MARKET ST,19102,1974
philadelphia,883334010,1518 Walnut Street,103560.0,72.7,81.0,571.1,1518 Walnut Street,19102,1929
philadelphia,883337500,1515 Market Street,523500.0,69.2,58.0,3168.4,Suite 1040,19102,1958
philadelphia,883408600,12th and Walnut,225615.0,99.1,,77.6,1201 Walnut Street,19102,1979
philadelphia,883410510,LOVE PARK LLC,10020.0,107896.0,,206.5,1501 John F Kennedy BLVD,19102,1960
philadelphia,883411000,Urban Growth Property LIM,100000.0,9.8,,93.8,1815-25 Arch Street,19102,1988
philadelphia,883413000,Parkway Building,173512.0,162.1,,270.0,150 N. Broad Street,19102,1987
philadelphia,883421500,MidTown Garage,110000.0,8.5,,79.7,1416 Chestnut St.,19102,1984
philadelphia,883423600,Avenue of the Arts,243057.0,33.8,,692.0,1501 Spruce Street,19102,2002
philadelphia,883425500,Interpark 15th and Samson,10000.0,0.1,,0.1,114 South 15th Street,19102,1950
philadelphia,883701000,The Bellevue,634329.0,130.4,,6074.0,200 S. Broad Street,19102,1904
philadelphia,883701500,Union League of Philadelphia,221044.0,102.7,,1658.9,140 S Broad St.,19102,1865
philadelphia,883702100,73R49-Philadelphia Ritz Carlton,350000.0,111.4,24.0,3065.6,10 Avenue Of The Arts,19102,1990
philadelphia,888035538,The Lanesborough,105000.0,36.1,97.0,267.2,1601 Locust Street,19102,1931
philadelphia,888035710,Chelsea Condo,55000.0,65.7,,297.9,1515 Locust Street,19102,1950
philadelphia,888071440,The Drake,177067.0,134.7,,1757.9,1512 Spruce Street,19102,1929
philadelphia,888082628,The Touraine Apartments,232318.0,61.6,45.0,957.2,1520-1528 Spruce Street,19102,1917
philadelphia,888087200,Packard Grande,444600.0,50.9,58.0,2110.0,111 S 15th St,19102,1924
philadelphia,888093600;888093602;888093604;888093824;888093826;888093828;888093830;888093832;888093700;888093702;888093704;888093706;888093708;888093710;888093712;888093714;888093717;888093721;888093724;888093726;888093729;888093732;888093734;888093736;888093738;888093741;888093744;888093746;888093748;888093750;888093752;888093754;888093756;888093758;888093760;888093762;888093765;888093768;888093770;888093772;888093774;888093776;888093778;888093780;888093782;888093784;888093786;888093788;888093790;888093792;888093794;888093796;888093798;888093800;888093802;888093804;888093806;888093808;888093810;888093812;888093814;888093816;888093818;888093820;888093822;888093606;888093608;888093610;888093612;888093614;888093616;888093618;888093620;888093622;888093624;888093626;888093628;888093630;888093632;888093634;888093636;888093638;888093640;888093642;888093644;888093646;888093648;888093650;888093652;888093654;888093656;888093658;888093660;888093662;888093665;888093668;888093670;888093672;888093674;888093676;888093678;888093680;888093682;888093684;888093686;888093689;888093692;888093694;888093696;888093698,(PA2649) - The Aria Condo,144137.0,94.9,2.0,1090.0,1425 Locust Street,19102,1900
philadelphia,888094900,The Residence's At The Ritz Carlton Philadelphia,515912.0,38.0,52.0,1857.4,1414 South Penn Square,19102,2008
philadelphia,888114920,Ellington Condominium,100000.0,175.3,,1351.3,"1500 Chestnut Street, #4-I",19102,1929
philadelphia,,The Sansom - Panco Management,74492.0,50.0,18.0,356.8,1601 SANSOM ST,19103,2013
philadelphia,772199000,Friends Select School,123306.0,87.9,34.0,769.0,17th and The Benjamin Franklin Parkway,19103,1969
philadelphia,772269000,archdoicese of philadelphia,170750.0,114.1,,1484.9,222 n.th st.,19103,1970
philadelphia,772283000,Hallahan High School,104730.0,72.4,45.0,442.0,311 N. 19th Street,19103,1911
philadelphia,772525500,College of Physicians,68967.0,93.6,,504.7,19 S. 22nd Street,19103,1909
philadelphia,772614000,CO/GLC 11310/1631 ARCH ST/PHILADELPHIA/PA,160661.0,299.2,,4414.7,1631 ARCH ST,19103,1905
philadelphia,772636525,Jewish Federation of Greater Philadelphia,120943.0,52.2,89.0,516.0,2100 Arch Street,19103,1913
philadelphia,772734500,Academy of Natural Sciences of Drexel University,250000.0,69.1,,1472.2,1900 Benjamin Franklin Parkway,19103,1876
philadelphia,782092400,Greenfield,96000.0,45.4,62.0,327.3,2200 CHESTNUT ST,19103,1968
philadelphia,782598000,Family Court-CLOSED,250000.0,57.2,80.0,994.2,1801 Vine St,19103,1941
philadelphia,782598210,Central Library,200680.0,126.8,,2207.2,1901 Vine St,19103,1922
philadelphia,"788007700, 788008001, 788008100","Urban Outfitters, Inc. - Building #003, 007, 012, 015, 025, 543",325133.0,224.3,3.0,5728.2,5000 S. 15th Street,19103,1916
philadelphia,881012260,Icon 1616,274250.0,43.6,,857.9,1616 Walnut St,19103,1929
philadelphia,881021500,The Townhouse,78750.0,75.7,63.0,368.9,301 S 19th St,19103,1933
philadelphia,881021502,The Harper,260172.0,35.9,73.0,868.0,112 S. 19th Street,19103,2019
philadelphia,881023000,William Penn House,825000.0,39.6,87.0,2197.8,1919 Chestnut Street,19103,1965
philadelphia,881025000,The Wellington,14892.0,255.0,3.0,352.6,1849 Walnut Street,19103,1925
philadelphia,881025500,The Rittenhouse Plaza,279109.0,72.1,32.0,1491.4,1901 Walnut Street,19103,1924
philadelphia,881026300,The Chatham,85328.0,37.1,69.0,293.8,135 S. 20th Street,19103,1927
philadelphia,881026500,(PA2219) - 2101 Cooperative Inc.,320000.0,66.1,39.0,1424.1,118 South 21st Street,19103,1953
philadelphia,881027000,Rittenhouse Claridge,463430.0,65.8,87.0,1749.0,201 S. 18th St.,19103,1951
philadelphia,881028510,The Roosevelt Apartments,64308.0,53.9,,301.0,2220 Walnut Street ,19103,1927
philadelphia,881028800,Riverloft (rv67),196225.0,49.8,52.0,791.1,2300 Walnut St.,19103,1910
philadelphia,881029000,The Carlyle,7193.0,288.3,,192.5,2031 Locust Street,19103,1928
philadelphia,881030550,Lenfest Hall,94747.0,82.7,,618.3,1616 Locust St.,19103,2011
philadelphia,881032850,Locust on the Park (lc003),198064.0,38.1,49.0,638.8,201 S 25th St,19103,2016
