city,property_id,property_name,property_type,site_eui,energy_star_score,total_ghg_mtco2e,address,zip
denver,6168,REST & OFC,COMMERCIAL-OFFICE,,,,Assessor Data,80205
denver,5948,,Multi-family Condominium,,,,Assessor Data,80238-2636
denver,2664,,Commercial/Residential Mixed-use,,,,Assessor Data,80203
denver,4022,"East First Avenue, LLC",Outpatient Rehabilitation/Physical Therapy,133.8,0.0,387.9,Portfolio Manager,80230
denver,3459,Cherry Creek,Enclosed Mall,68.3,0.0,11527.8,Portfolio Manager,80206
denver,1810,Blessed Sacrament Catholic School Report,Other - Education,20.1,0.0,148.7,Portfolio Manager,80220
denver,1612,Whole Fresh Foods,Refrigerated Warehouse,64.9,54.0,214.3,Portfolio Manager,80239
denver,5191,Briarwood Health Care,RESIDENTIAL CARE FACILITY,64.3,0.0,374.6,Portfolio Manager,80206
denver,2156,Blue Moon Brewing Company ID2156,Other - Restaurant/Bar,260.8,0.0,620.1,Portfolio Manager,80216
denver,4598,"Welshire Plaza, LLC",Other - Mall,97.7,0.0,453.9,Portfolio Manager,80222
denver,5021,AutoNation Chrysler Dodge Jeep Ram Southwest,AUTOMOBILE DEALERSHIP,124.8,0.0,492.7,Portfolio Manager,80123
denver,1457,NORTH HOLLY COMBINED MAT LABS & RESIDENCIES,LABORATORY,64.3,0.0,614.7,Portfolio Manager,80216
denver,3777,Centura Training Center,ADULT EDUCATION,81.1,0.0,328.0,Portfolio Manager,80210
denver,4373,Bowlero Cherry Creek,Bowling Alley,51.6,0.0,264.1,Portfolio Manager,80224
denver,1763,Sam's Club #4777,Wholesale Club/Supercenter,128.0,20.0,1912.0,Portfolio Manager,80208
denver,2860,National Jewish Health,Other - Specialty Hospital,283.0,0.0,16871.1,Portfolio Manager,80206
denver,3532,Quest Diagnostics Denver,LABORATORY,91.6,0.0,1399.6,Portfolio Manager,80209
denver,4228,Windsor Gardens Community Center,Other - Recreation,40.9,0.0,348.3,Portfolio Manager,80247
denver,3080,1080 Cherokee Street,Financial Office,64.5,76.0,246.6,Portfolio Manager,80204
denver,6099,231050,Other - Technology/Science,174.4,0.0,1408.7,Portfolio Manager,802180000
denver,3420,Denver Country Club Clubhouse,CONVENTION CENTER,83.7,0.0,1148.3,Portfolio Manager,80218
denver,5877,Westwood Crossing LLC,Commercial/Residential Mixed-use,31.4,100.0,309.6,Portfolio Manager,80219
denver,4885,Micro Center Shopping Plaza,Other - Mall,69.8,0.0,959.1,Portfolio Manager,80237
denver,2353,Sloan's Lake Medical Center,Other - Specialty Hospital,78.6,0.0,2058.3,Portfolio Manager,80204
denver,4102,Laboratory Services Building,LABORATORY,166.3,0.0,1635.7,Portfolio Manager,80230-6928
denver,4459,Vectra Bank Colorado,Financial Office,59.7,65.0,313.5,Portfolio Manager,80222
denver,2517,Campus Village,Residence Hall/Dormitory,38.3,88.0,1228.1,Portfolio Manager,80204
denver,4039,Wings Over the Rockies Air & Space Museum,MUSEUM,59.8,0.0,696.7,Portfolio Manager,80230
denver,1615,northeast seafood,Food Service,119.1,0.0,512.5,Portfolio Manager,80239
denver,5054,6100 W Quincy Ave Bldg Mars,Other - Utility,53.0,0.0,5535.9,Portfolio Manager,80235
denver,2890,Sewall Child Development Center,Pre-school/Daycare,54.3,0.0,161.6,Portfolio Manager,80206
denver,2815,South Target Village,Other - Mall,100.8,0.0,252.6,Portfolio Manager,80227
denver,1241,4940-4950 PARIS,Other - Services,56.9,0.0,119.1,Portfolio Manager,80239
denver,5689,237003,Other - Technology/Science,112.4,0.0,2173.2,Portfolio Manager,802200000
denver,4016,Big Bear Ice Arena,Ice/Curling Rink,64.3,0.0,726.2,Portfolio Manager,80230
