city,property_id,property_name,property_type,site_eui,energy_star_score,total_ghg_mtco2e,zip,gross_floor_area_sqft
denver,1457,NORTH HOLLY COMBINED MAT LABS & RESIDENCIES,LABORATORY,64.3,0.0,614.7,80216,
denver,3777,Centura Training Center,ADULT EDUCATION,81.1,0.0,328.0,80210,
denver,4373,Bowlero Cherry Creek,Bowling Alley,51.6,0.0,264.1,80224,
denver,1763,Sam's Club #4777,Wholesale Club/Supercenter,128.0,20.0,1912.0,80208,
denver,2860,National Jewish Health,Other - Specialty Hospital,283.0,0.0,16871.1,80206,
denver,3532,Quest Diagnostics Denver,LABORATORY,91.6,0.0,1399.6,80209,
denver,4228,Windsor Gardens Community Center,Other - Recreation,40.9,0.0,348.3,80247,
denver,3080,1080 Cherokee Street,Financial Office,64.5,76.0,246.6,80204,
denver,6099,231050,Other - Technology/Science,174.4,0.0,1408.7,802180000,
denver,3420,Denver Country Club Clubhouse,CONVENTION CENTER,83.7,0.0,1148.3,80218,
denver,5877,Westwood Crossing LLC,Commercial/Residential Mixed-use,31.4,100.0,309.6,80219,
denver,4885,Micro Center Shopping Plaza,Other - Mall,69.8,0.0,959.1,80237,
denver,2353,Sloan's Lake Medical Center,Other - Specialty Hospital,78.6,0.0,2058.3,80204,
denver,4102,Laboratory Services Building,LABORATORY,166.3,0.0,1635.7,80230-6928,
denver,4459,Vectra Bank Colorado,Financial Office,59.7,65.0,313.5,80222,
denver,2517,Campus Village,Residence Hall/Dormitory,38.3,88.0,1228.1,80204,
denver,4039,Wings Over the Rockies Air & Space Museum,MUSEUM,59.8,0.0,696.7,80230,
denver,1615,northeast seafood,Food Service,119.1,0.0,512.5,80239,
denver,5054,6100 W Quincy Ave Bldg Mars,Other - Utility,53.0,0.0,5535.9,80235,
denver,2890,Sewall Child Development Center,Pre-school/Daycare,54.3,0.0,161.6,80206,
denver,2815,South Target Village,Other - Mall,100.8,0.0,252.6,80227,
denver,1241,4940-4950 PARIS,Other - Services,56.9,0.0,119.1,80239,
denver,5689,237003,Other - Technology/Science,112.4,0.0,2173.2,802200000,
denver,4016,Big Bear Ice Arena,Ice/Curling Rink,64.3,0.0,726.2,80230,
denver,3537,Sam's Club #6632,Wholesale Club/Supercenter,121.5,25.0,1730.8,80209,
denver,2205,2800 Walnut,Other - Mall,45.8,0.0,185.8,80205,
denver,4530,ALD Plaza,Other - Mall,80.8,49.0,250.6,80222,
denver,5252,1792 Wynkoop Lofts Condominium Association,Restaurant,74.5,0.0,525.6,80202,
denver,2538,Denver FGA/GLI Maintenance (830011),Transportation Terminal/Station,194.5,0.0,482.9,80205,
